DishName,Rating,ReviewCount,Submitter,MadeIt,Servings,Calories,PrepTime,CookTime,Totaltime,Ingredients,Directions
Mom's Zucchini Bread,4.756300449,6560,v monte,7080,24,255,20 m,1 h,1 h 40 m,"['3 cups all-purpose flour', '1 teaspoon salt', '1 teaspoon baking soda', '1 teaspoon baking powder', '1 tablespoon ground cinnamon', '3 eggs', '1 cup vegetable oil', '2 1/4 cups white sugar', '3 teaspoons vanilla extract', '2 cups grated zucchini', '1 cup chopped walnuts']","['Grease and flour two 8 x 4 inch pans.  Preheat oven to 325 degrees F (165 degrees C).', 'Sift flour, salt, baking powder, soda, and cinnamon together in a bowl.', 'Beat eggs, oil, vanilla, and sugar together in a large bowl.  Add sifted ingredients to the creamed mixture, and beat well.  Stir in zucchini and nuts until well combined.  Pour batter into prepared pans.', 'Bake for 40 to 60 minutes, or until tester inserted in the center comes out clean.  Cool in pan on rack for 20 minutes.  Remove bread from pan, and completely cool.', '']"
Persimmon Bread I,4.59803915,84,v monte,78,6,547,,,,"['2 eggs', '1 1/2 cups all-purpose flour', '3/4 cup white sugar', '1/2 teaspoon salt', '1/2 cup vegetable oil', '1 teaspoon ground cinnamon', '1 cup persimmon pulp', '1/2 cup chopped walnuts', '1 teaspoon baking soda', '1/2 cup raisins']","['Preheat oven to 325 degrees F (165 degrees C).  Oil a 9 x 4 inch pan.', 'In a small bowl, combine flour, cinnamon, salt, nuts, and raisins.', 'In a large bowl, blend eggs, sugar, and oil.  Mix baking soda into pulp, and add to sugar mixture.  Fold in flour mixture.  Pour batter into prepared pan.', 'Bake for 75 minutes, or until tester inserted in the center comes out clean.', '']"
Yummy Lemon Bread,4.433333397,25,v monte,17,12,227,,,,"['6 tablespoons butter, melted', '1 cup white sugar', '1/2 cup milk', '2 eggs', '1 1/2 cups all-purpose flour', '1 teaspoon baking powder', '1 tablespoon grated lemon zest', '1/2 cup chopped walnuts', '2 tablespoons lemon juice', ""2 tablespoons confectioners' sugar""]","['Generously grease a 9 x 5 inch loaf pan.  Preheat oven to 350 degrees F (175 degrees C).', 'In a large bowl, combine melted butter or margarine and sugar.  Add eggs, and mix until light and fluffy.  Add milk, baking powder, lemon rind, and chopped nuts.  Mix well.  Sift flour, and gradually add to mixture; mix to just combine.', 'Bake for 50 to 60 minutes, or until tester inserted in the center comes out clean.', ""While bread is baking, combine lemon juice and confectioners' sugar in small dish.  Stir well before using.  Immediately upon removing bread from oven,  place pan on a cooling rack.  Using a large fork, poke holes all over the bread.  Pour lemon juice mixture over the top of the bread.  Cool for 15 minutes, and then remove from pan."", '']"
Swedish Rye Bread I,4.529411793,29,Janice,9,36,166,,,,"['1 1/2 (0.6 ounce) cakes compressed fresh yeast', '1 1/2 cups warm water', '1 1/2 cups warm milk', '1 tablespoon salt', '6 cups bread flour', '1/4 cup molasses', '1 cup packed brown sugar', '1/3 cup melted shortening', '3 cups rye flour']","['Dissolve yeast in warm water.', 'Scald milk.  Transfer milk to a large bowl, and add salt, molasses, brown sugar, and melted shortening.  Cool to lukewarm, and add dissolved yeast.  Add rye flour, beating with mixer. Gradually beat in white flour.  Place dough in a greased bowl, and turn to coat the surface.  Cover with a damp towel, and allow to rise till double in bulk in a warm place.', 'Punch down the dough, and place on a lightly floured board.  Knead until dough becomes elastic, and does not stick to the board.  Allow to rest for 5 minutes.  Divide into 3 equal portions, and shape into loaves.  Place in greased 9 x 5 inch bread pans.  Let rise until double in bulk.', 'Bake at 375 degrees F (190 degrees C) for 35 to 40 minutes.', '']"
Apricot Nut Bread,3.923076868,12,JJOHN32,1,12,222,,,,"['1 (15 ounce) can apricot halves', '1/3 cup shortening', '1/2 cup white sugar', '2 eggs', '1 3/4 cups sifted all-purpose flour', '1 teaspoon baking powder', '1/2 teaspoon baking soda', '1/2 teaspoon salt', '1/2 cup chopped walnuts']","['Drain apricots, and save syrup. Puree apricots in a food processor, adding syrup if necessary to make 1 cup.', 'Whisk together the flour, baking powder, soda, and salt.', 'In a large bowl, cream together shortening and sugar. Add eggs one at a time, and beat fill fluffy. Add flour mixture alternately with apricot puree to the creamed mixture. Stir in nuts. Spread batter into a greased and floured 9 x 5 loaf pan.', 'Bake at 350 degrees F (175 degrees C) for 50 minutes.  Remove from pan, and cool on a rack.', '']"
Easy Banana Bread,4.715555668,561,Teri Lynn,379,24,258,20 m,1 h 10 m,1 h 30 m,"['5 very ripe bananas', '4 eggs', '1 cup shortening', '2 1/2 cups white sugar', '1 tablespoon vanilla extract', '3 1/2 cups all-purpose flour', '2 teaspoons baking soda', '1 teaspoon salt']","['Preheat oven to 300 degrees F (150 degrees C). Grease 2 - 9x5 inch loaf pans. In a medium bowl, mash bananas and stir in the eggs until well blended. Set aside.', 'In large bowl, beat shortening and gradually add sugar.  Stir in vanilla and banana mixture. Whisk together flour, baking soda, and salt; blend into batter.  Add walnuts if desired.  Divide between the prepared pans.', 'Bake for 1 hour 15 minutes in the preheated oven, or until a toothpick inserted into the center of the loaf comes out clean.', '']"
Beer Biscuits,4.058333397,103,Lisa,26,12,121,,,,"['2 cups all-purpose flour', '3 teaspoons baking powder', '1 teaspoon salt', '1/4 cup shortening', '3/4 cup beer']","['Preheat oven to 450 degrees F (230 degrees C).', 'Sift together flour, baking powder, and salt.  Cut in shortening until it has cornmeal consistency.  Stir in beer, and knead lightly.', 'Roll dough out to 1/2 inch thickness.  Cut with biscuit cutter.', 'Bake 10 to 12 minutes, or until golden brown.', '']"
Three C Bread,4,3,JJOHN32,1,36,127,,,,"['3 eggs, beaten', '1/2 cup vegetable oil', '1/2 cup milk', '2 1/2 cups sifted all-purpose flour', '1 cup white sugar', '1 teaspoon baking powder', '1 teaspoon baking soda', '1 teaspoon ground cinnamon', '1/2 teaspoon salt', '2 cups grated carrots', '1 (3.5 ounce) package flaked coconut', '1/2 cup maraschino cherries, chopped', '1/2 cup raisins', '1/2 cup chopped pecans']","['Preheat oven to 350 degrees F (175 degrees C).  Grease and flour four 16 ounce fruit or vegetable cans.', 'In a large bowl, sift together flour, sugar, baking powder, baking soda, cinnamon, and salt.  Combine the eggs, oil, and milk; add to the sifted ingredients, and mix until just combined.  Stir in carrots, coconut, cherries, raisins, and pecans.', 'Bake for 45 to 50 minutes.  Remove from cans, and cool thoroughly.  Wrap in plastic wrap or foil, and refrigerate to store.', '']"
Strawberry Rhubarb Muffins,3.833333254,6,Lila Brueggeman,2,12,149,,,,"['1 cup bread flour', '1/3 cup amaranth flour', '2/3 cup brown rice flour', '2 teaspoons baking powder', '1/2 teaspoon baking soda', '1/2 teaspoon ground allspice', '1/2 cup chopped rhubarb', '1/2 cup water', '1/4 cup honey', '3 tablespoons vegetable oil', '1 egg', '1/2 cup chopped strawberries']","['Place rhubarb and water in a saucepan, and bring to a boil.  Cook until tender, about 15 minutes.  Strain the rhubarb, and reserve the juice.  Measure the juices, and if necessary, add a bit of water to make 3/4 cup liquid.', 'Whisk together rhubarb juice, honey, oil, and egg.', 'In a large bowl, mix flours, baking powder, baking soda, and allspice.  Pour juice mixture into flour mixture, and stir briefly to combine.  Do not overmix.  Fold in rhubarb and strawberries.  Spoon batter into 12 oiled or paper lined muffin cups.', 'Bake at 375 degrees F (190 degrees C) for 22 to 25 minutes.', '']"
Honey Wheat Bread I,4.77204895,595,Kristin Zaharias,126,24,156,25 m,35 m,2 h 30 m,"['1 (.25 ounce) package rapid rise yeast', '1 teaspoon white sugar', '1/2 cup warm water (110 degrees F/45 degrees C)', '1 (12 fluid ounce) can evaporated milk', '1/4 cup water', '1/4 cup melted shortening', '1/4 cup honey', '2 teaspoons salt', '2 cups whole wheat flour', '3 cups bread flour', '2 tablespoons butter']","['Dissolve yeast and sugar in 1/2 cup warm water.', 'Combine milk, 1/4 cup water, shortening, honey, salt and wheat flour in food processor or bowl. Mix in yeast mixture, and let rest 15 minutes. Add bread flour, and process until dough forms a ball. Knead dough by processing an additional 80 seconds in food processor, or mix and knead by hand 10 minutes. Place the dough in a buttered bowl, and turn to coat. Cover the bowl with plastic wrap. Let dough rise for 45 minutes, or until almost doubled.', 'Punch down, and divide dough in half. Roll out each half, and pound out the bubbles. Form into loaves, and place in buttered 9x5 inch bread pans. Butter the tops of the dough, and cover loosely with plastic wrap. Let rise in a warm area until doubled; second rise should take about 30 minutes.', 'Place a small pan of  water on the bottom shelf of the oven. Preheat oven to 375 degrees F (190 degrees C).', 'Bake for 25 to 35 minutes, or until tops are dark golden brown. Butter crusts while warm. Slice when cool.', '']"
